mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18,delta2_19,delta2_20,label
-325.4556,92.90348,-3.9973335,16.643688,-20.855562,-23.908222,-34.356953,-21.406174,-23.077662,-19.030241,-4.530164,-11.826198,-13.743079,-4.082843,-13.938515,-11.397633,-11.935522,-7.8889117,-15.305499,-6.786425,0.18304995,-0.119252555,-0.12223728,0.53418916,0.6239399,0.021938588,-0.60808074,-0.34255537,0.06503036,0.12322941,-0.26482555,0.06997023,0.22565636,0.14659283,-0.08153047,-0.16249241,0.040509142,0.30886614,0.1386502,-0.18058375,0.37116754,0.53907883,-0.43829948,0.06248709,0.20399274,-0.21692692,0.11010816,-0.019014033,0.22638878,-0.06811635,0.071959406,0.22304562,0.098098844,-0.09146088,0.17048533,-0.019809386,0.23501965,-0.019862512,0.0041020825,-0.041192863,0
-299.2736,85.038704,-22.451406,2.7363698,-18.07432,-13.20626,-41.49636,-18.866663,-20.197834,-16.162558,-5.6682115,-8.194942,-9.529857,-4.5214415,-14.100073,-8.808501,-14.131911,-4.916223,-10.782712,-6.7537923,1.0359062,-0.32221264,-0.71835274,0.13232847,-0.069703266,-0.18605249,-0.58900166,0.03560042,0.39592823,0.076497056,0.24616717,0.10517942,0.17087187,-0.1897361,-0.11524623,-0.079103775,-0.024637762,0.05612475,0.050603703,-0.032372173,0.12726523,-0.059103798,-0.05145474,-0.1758045,-0.14515254,-0.04673782,0.38860252,0.028778644,0.257895,0.14892322,0.14697696,0.24607944,-0.090658054,0.029501362,0.13011207,0.026266042,-0.017013164,0.032540504,0.1287323,0.047388133,0
-292.25818,85.40415,-26.230942,13.42664,-19.363514,-14.525653,-46.475395,-20.791235,-18.7124,-19.4079,-5.524759,-8.426005,-6.874908,-5.5490665,-14.859181,-7.142957,-13.98044,-8.164801,-10.761744,-6.1426816,0.89014065,1.3427019,-1.6379668,-0.21077007,0.09911515,-0.45519078,0.26190293,-0.007951184,0.104033135,0.16092834,0.07533633,-0.040381894,0.0152000515,-0.34880126,-0.07876561,-0.41612297,-0.20909168,-0.26623476,0.06713772,0.12844074,0.02449427,0.37695172,0.27736256,-0.17465237,0.32204142,0.31966192,0.37611225,0.039079715,0.08854102,0.11802809,0.13018103,0.2246857,-0.105726436,0.111085646,0.12477131,0.027534025,0.0057957564,0.09517467,0.044542972,0.08626541,0
-306.2278,94.30231,-19.7782,19.994799,-21.6796,-19.43966,-42.97538,-26.913677,-20.813536,-19.73176,-5.9097567,-11.971166,-9.236939,-8.144159,-17.40659,-7.4097238,-14.138246,-9.794505,-12.259928,-7.8356433,-1.2339723,-0.3293952,0.34273368,-0.27458122,-0.19638778,0.066819414,0.28194618,0.03941199,-0.21912026,0.096713,0.1434279,-0.12181435,0.044560935,-0.05175118,0.16004914,0.06038573,-0.15120564,-0.011569275,0.054333467,0.05246484,-0.46379313,-0.21925235,0.4130741,0.4082618,0.050761994,-0.3545345,0.20964095,0.21538974,0.14461924,-0.10805108,-0.036134727,0.199461,0.14006521,-0.069885366,-0.021309713,-0.031529874,-0.0030184407,-0.0400858,0.060195357,0.039564114,0
-306.2522,80.11466,-19.993147,14.11586,-21.290384,-14.434985,-37.09722,-24.300127,-20.99472,-18.827234,-6.9130526,-7.8160863,-9.411162,-6.6823564,-16.911097,-7.2715483,-13.64788,-8.452693,-12.216431,-7.476027,-0.2213224,-1.5730319,0.03643068,0.093815774,-0.22927253,0.110884294,-0.27781004,0.03844174,0.22839919,-0.13697335,-0.112775,-0.059031803,0.16350254,0.1885017,-0.17739062,-0.00059927837,0.1330433,0.09880889,0.05410995,-0.08683332,-0.09154949,-0.11217387,0.08447656,0.08839757,0.17640723,0.088449605,0.1522463,0.28125644,0.23633237,0.0081262095,0.14967512,0.1844789,0.095431685,-0.025760937,0.11513324,0.13360855,0.16335177,0.057347834,0.17637308,0.08670864,0
-299.64206,80.804855,-16.009972,8.826972,-23.303535,-13.691881,-39.436626,-22.157352,-21.818577,-20.210161,-7.350537,-7.69786,-10.425517,-4.9416947,-15.534959,-9.711064,-13.058857,-10.017038,-14.089692,-6.210217,1.1288525,0.011287825,-0.8016335,-0.4525157,0.082855,0.11393894,0.21036816,-0.023684885,0.2459369,0.087842524,-0.33785123,-0.26149917,-0.088226065,0.22400315,0.2154498,-0.13358785,0.21619418,-0.020784227,0.022358656,0.15548494,-0.41266477,-0.99577814,0.23410541,-0.3509984,-0.14759755,0.2881576,0.20035553,0.10436388,0.15529461,0.18702245,-0.039431985,0.17497031,0.10786295,0.018660322,-0.019617157,0.19237639,0.12365052,0.16567846,0.008617223,0.015751706,0
-285.1854,84.76605,-22.745485,8.307234,-23.846766,-14.992777,-39.886677,-22.661379,-20.743216,-18.197145,-10.951417,-8.716383,-9.519854,-5.5203295,-12.778216,-10.3596115,-12.766849,-10.454427,-12.671361,-5.400117,1.7540842,0.19048207,0.04623749,-0.6364505,-0.23653503,0.528197,0.077581555,-0.4686796,-0.4766328,0.35272577,-0.016053388,-0.08608341,0.11373617,0.17427321,0.20356533,-0.18481927,-0.1786973,-0.09221015,0.066489704,-0.12049135,0.11355964,-0.62848216,-0.113118164,-0.27781555,0.0348042,0.2340269,0.1412274,0.112310186,0.11877943,0.15792939,0.087285355,0.1658422,0.1418299,0.09528715,0.11639275,0.17872064,0.15739883,0.20833766,0.14858258,0.032987606,0
-268.45157,87.5593,-22.805582,4.3522153,-27.856733,-14.964513,-35.71523,-19.269014,-23.46038,-16.415941,-11.447039,-8.575338,-7.115195,-8.514631,-11.951963,-11.168092,-12.362334,-14.420121,-8.377829,-7.9276767,-0.08430145,0.8686594,-0.08556317,0.26405662,-0.044822883,0.12793371,0.2644278,0.15856485,-0.054007996,0.023027563,-0.15359719,-0.12800892,0.13262804,0.12297727,0.2764805,-0.07731127,-0.2182137,-0.1494569,0.18306223,-0.016226102,0.7898509,-0.38241324,0.11223271,0.024978932,-0.010981919,0.0060932483,0.1682915,0.017252408,0.18906756,0.07083289,0.059032936,0.24135634,0.110268526,0.19092064,-0.07131511,0.025523284,0.0962573,0.24067725,0.09537969,0.11663157,0
-270.7317,89.50083,-14.35902,3.5269349,-24.318384,-18.141674,-33.621235,-16.43419,-24.566532,-18.544497,-11.117739,-11.608383,-6.338475,-11.589597,-12.466596,-13.205238,-13.393325,-18.069113,-6.6262193,-9.686958,-0.68308955,-0.5331952,0.1591313,0.5931633,0.96200216,-0.31461397,-0.21885441,0.20165382,0.49028406,0.16119666,-0.20895627,-0.32142082,-0.33237126,0.08535729,0.1652339,0.05697504,-0.13230684,-0.13756426,-0.16864567,0.11467643,0.08546094,-0.4151273,0.6099768,0.2478368,0.12695591,0.07103172,0.14732203,0.31490996,0.12690851,-0.11744521,0.06897829,0.108304836,0.2758414,-0.020294813,0.20970377,0.20805757,-0.041968193,0.01715849,0.24573097,-0.009918831,0
-304.11725,85.944336,-9.692867,8.612217,-16.325512,-20.874199,-33.60627,-17.321318,-22.684357,-17.627699,-12.183494,-11.515643,-6.973064,-11.866142,-13.433798,-12.091615,-14.489138,-14.599492,-8.88672,-8.355941,-2.3498669,-0.38602436,0.66608846,-0.5444361,0.36354938,0.37780765,-0.30775505,-0.45465958,-0.32129714,0.11085011,-0.19050466,0.18164693,-0.1907339,-0.14082505,-0.42625096,0.3039602,0.13702306,0.23360325,-0.23290974,0.00651084,-0.05250045,-0.6261261,0.0789083,0.23535436,0.27087086,0.012760199,0.1172085,0.30981398,0.26478788,0.06515415,0.111079305,0.05421241,0.11804228,0.11715571,0.095335916,0.015155162,0.12309872,0.21049713,0.25534487,0.021683833,0
-318.91046,81.371124,-14.28752,9.775198,-15.386664,-20.706387,-37.21076,-11.394492,-20.465752,-18.271318,-8.987264,-7.7303267,-3.2586963,-16.332293,-12.747907,-7.3050404,-12.382303,-10.09382,-9.388642,-5.2076845,0.3456223,-0.26030648,-0.325686,0.20909569,-0.43154892,-0.3495776,-0.01765604,0.16927807,-0.12065776,0.004577591,0.10275995,-0.012036588,-0.08665328,-0.04520877,-0.034749538,0.025826585,-0.12403867,-0.12865716,-0.053325787,-0.044585474,0.91418517,-0.0070894966,0.2914973,-0.18183365,0.11819316,0.162998,0.06876761,0.43039083,0.2791411,0.13085702,0.29382187,0.14362705,0.058033105,-0.012131782,-0.00859038,0.12235297,0.12265449,0.059612926,0.07755789,0.054259818,0
